player_id,name,team,position,value,rds-played,tot-sel,avg-per-rd,rating,points-last-rd,primary-accent,Club,player_index,names_fantasy,names_stats
179298,A. Polo,Portland Timbers,MID,5,19,0.19%,2.53,$105K,3,48,POR,411.0,A. Polo-POR,A. Polo-POR
165072,J. Delem,Seattle Sounders FC,MID,4.1,23,0.05%,2.52,$71K,1,58,SEA,381.0,J. Delem-SEA,J. Delem-SEA
82518,E. Alexander,FC Dallas,MID,4.9,6,0.07%,2.5,$327K,DNP,15,DAL,344.0,E. Alexander-DAL,E. Alexander-DAL
436893,J. Araujo,LA Galaxy,DEF,4,18,0.34%,2.5,$89K,1,45,LA,386.0,J. Araujo-LA,J. Araujo-LA
118377,M. Pedroso,D.C. United,DEF,4.7,6,0.06%,2.5,$314K,DNP,15,DC,593.0,M. Pedroso-DC,M. Pedroso-DC
247675,P. Vassell,Los Angeles Football Club,MID,4.7,4,0.05%,2.5,$470K,DNP,10,LAFC,378.0,P. Vassell-LAFC,P. Vassell-LAFC
186742,L. Venuto,Vancouver Whitecaps FC,MID,5.1,22,0.02%,2.5,$93K,DNP,55,VAN,133.0,L. Venuto-VAN,L. Venuto-VAN
204254,O. Fernandez,New York Red Bulls,MID,4,18,0.29%,2.44,$91K,1,44,NY,163.0,O. Fernandez-NY,O. Fernandez-RBNY
41551,J. Larentowicz,Atlanta United FC,MID,4.6,27,0.22%,2.41,$71K,3,65,ATL,406.0,J. Larentowicz-ATL,J. Larentowicz-ATL
212020,T. Rocha,New York City FC,DEF,4.4,17,0.08%,2.41,$108K,DNP,41,NYC,359.0,T. Rocha-NYC,T. Rocha-NYC
225062,S. Shome,Montreal Impact,MID,4,27,0.24%,2.41,$62K,1,65,MTL,245.0,S. Shome-MTL,S. Shome-MTL
204556,E. Gallardo,Toronto FC,MID,5.9,5,0.04%,2.4,$492K,DNP,12,TOR,368.0,E. Gallardo-TOR,E. Gallardo-TOR
108839,R. Lod,Minnesota United FC,MID,5.3,10,0.04%,2.4,$221K,1,24,MIN,631.0,R. Lod-MIN,R. Lod-MIN
107617,L. Martins,Sporting Kansas City,DEF,4.3,10,0.09%,2.4,$180K,0,24,SKC,609.0,L. Martins-SKC,L. Martins-SKC
149675,D. Asprilla,Portland Timbers,MID,4.3,13,0.53%,2.38,$139K,12,31,POR,180.0,D. Asprilla-POR,D. Asprilla-POR
226309,J. Hayes,FC Dallas,MID,4,19,0.83%,2.37,$89K,1,45,DAL,330.0,J. Hayes-DAL,J. Hayes-DAL
247622,M. Loria,Portland Timbers,MID,4,19,0.70%,2.37,$89K,0,45,POR,179.0,M. Loria-POR,M. Loria-POR
247671,M. Freese,Philadelphia Union,GK,4,6,4.67%,2.33,$286K,DNP,14,PHI,677.0,M. Freese-PHI,M. Freese-PHI
